id,screen_name,avg_tweets_per_day,posting_rate_consistency,high_volume_flag,bio_length,bio_word_count,bio_lexical_diversity,bio_has_url,bio_hashtag_count,bio_mention_count,bio_exclaim_ratio,bio_sentiment_score,has_description,followers_count,friends_count,follower_friend_ratio,favourites_count,favourites_per_day,account_age_days,verified,default_profile,default_profile_image,geo_enabled,has_location,has_lang,label
1692140268,tommygeekinn,0.541,6.776341558956123e-05,0,7,3,1.0,0,0,0,0.0,0,1,96,145,0.6620689655172414,17019,6.666274970622797,2553,0,1,0,0,1,1,0
15467245,uscsoccer86,0.265,0.00045866364665908543,0,41,5,1.0,0,0,0,0.0,0,1,16,12,1.3333333333333333,799,0.1809739524348811,4415,0,1,0,0,1,1,1
721683182,nai8478,6.61,5.434782608659816e-05,0,146,25,0.9130434782608695,0,0,0,0.0,0,1,271,346,0.7832369942196532,46919,15.937160326086957,2944,0,1,0,0,1,1,0
3282830066,eye__vy,5.972,2.7972027971223667e-05,0,19,3,1.0,0,0,0,0.0,0,1,310,420,0.7380952380952381,46961,25.261430876815492,1859,0,0,0,1,1,1,0
20447988,OUTDChannel,6.125,0.000475285171102513,0,161,20,1.0,1,1,0,0.0,1,1,210561,6801,30.96029995588884,14392,3.420152091254753,4208,1,0,0,1,1,1,0
94896901,iJonasStylinson,16.766,0.0003310309542072787,1,122,12,1.0,0,2,0,0.0,1,1,1835,2570,0.7140077821011673,29970,7.666922486569455,3909,0,0,0,1,1,1,0
88081160,_amy00,5.882,8.024377856763465e-05,0,90,15,0.9333333333333333,0,0,0,0.0,0,1,121,101,1.198019801980198,322,0.08176739461655663,3938,0,0,0,1,1,1,0
63701775,mainedcm,9.9,2.4820054605356745e-05,0,19,5,1.0,0,0,0,0.0,0,1,6154982,334,18428.08982035928,2175,0.5398361876396128,4029,1,0,0,1,0,1,0
30933781,magickalspectre,0.646,0.00032086851628465585,0,36,6,0.8333333333333334,0,0,0,0.0,0,1,31,85,0.36470588235294116,2006,0.483956574185766,4145,0,0,0,0,1,1,0
889213107112996864,feIIati0,1.111,0.0004830659536541049,0,0,0,0.0,0,0,0,0.0,0,0,24,81,0.2962962962962963,9677,8.624777183600713,1122,0,1,0,0,1,0,0
276562720,Preggoluffa,0.011,0.00019708029197080222,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,34,0.009927007299270074,3425,0,1,1,0,0,0,1
256115497,cjfinnego,46.576,4.617604617607185e-05,1,25,5,1.0,0,0,0,0.0,0,1,1672,389,4.298200514138817,62208,17.953246753246752,3465,0,0,0,1,1,1,0
4848354100,LorLea93,1.22,0.00015596880623869325,0,67,12,1.0,0,0,0,0.0,0,1,31,142,0.21830985915492956,49,0.029394121175764846,1667,0,1,0,1,0,1,0
2318140218,kbjurgens,18.055,0.0002569995821133375,1,20,2,1.0,0,0,0,0.0,0,1,512,355,1.4422535211267606,28461,11.893439197659841,2393,0,1,0,1,1,1,0
2581857086,NewsroomPostCom,74.367,0.00011111111111006267,1,24,5,1.0,0,0,0,0.0,0,1,57038,613,93.04730831973899,1105,0.4911111111111111,2250,1,0,0,0,1,1,0
1739064128,MadisonAriaRose,0.456,0.00012923561859734534,0,82,14,0.875,0,0,0,0.0,1,1,96,383,0.2506527415143603,37745,14.871946414499606,2538,0,1,0,0,0,1,0
47186755,RKellyOnlyTwitr,0.022,0.00028753367621846965,0,0,0,0.0,0,0,0,0.0,0,0,1032551,0,0.0,3146,0.7705118785206956,4083,0,0,0,1,1,0,0
861135093213138944,MahmutBilici11,1.028,0.0004999999999999449,0,79,10,0.9,0,0,0,0.0,0,1,40,592,0.06756756756756757,1053,0.8775,1200,0,1,0,0,1,1,1
20710218,MLBNetwork,16.385,0.00049346016646723,1,165,24,0.7586206896551724,1,0,1,0.0,0,1,1630092,4946,329.5778406793368,20442,4.861355529131986,4205,1,0,0,1,1,1,1
20972371,HardcoreHistory,2.52,0.00046644455021427333,0,90,15,1.0,0,0,0,0.0,0,1,272796,95,2871.536842105263,19,0.004521656354117087,4202,0,0,0,0,1,1,1
